Graph,R,Size,Execution time
graph_Email-Enron,8,34676,5.98
graph_football,8,111,0
graph_jazz,8,189,0
graph_karate,8,51,0
graph_ncstrlwg2,8,5500,0.334
loc-gowalla_edges,8,147139,719.405
musae_git,8,32636,11.928
socfb-Brandeis99,8,3884,0.006
socfb-Mich67,8,3616,0.024
socfb-nips-ego,8,10,0.618
soc-gplus,8,4447,38.078
deezer_HR,9,52195,8.489
ego-facebook,9,3942,0.017
gemsec_facebook_artist,9,47295,10.05
graph_actors_dat,9,9980,0.038
graph_CA-AstroPh,9,18772,0.01
graph_CA-CondMat,9,23122,0.023
graph_CA-GrQc,9,5242,0.002
graph_CA-HepPh,9,12008,0.003
graph_CA-HepTh,9,9877,0.004
graph_dolphins,9,19,0
graph_Email-Enron,9,34676,5.386
graph_football,9,112,0
graph_jazz,9,189,0
graph_karate,9,51,0
graph_ncstrlwg2,9,5500,0.38
loc-gowalla_edges,9,147139,886.573
musae_git,9,32636,13.733
socfb-Brandeis99,9,3884,0.003
socfb-Mich67,9,3616,0.02
socfb-nips-ego,9,10,0.818
soc-gplus,9,4447,39.523
